"Parent2Name","Parent1Name","Now_Parent1Reference","CustomerName","Now_Reference","ComputerName","DeviceName","DeviceId","Now_Product.OsType","Now_Physicality","PhysicalServer","VirtualServer","Workstation","Documents","RecoveryTesting","O365Users","CustomerState","CreationDate","ProductionDate","DeviceDeletionDate","SelectedSizeGb","UsedStorageGb"
,"Cubics","CUB","Javelin Kantoor","JAV","JVM-HKA-HYP002","jvm-hka-hyp002","3745727",,"Physical","1",,,,,,"InProduction","12/7/2021 12:00:00 AM","10/14/2016 12:00:00 AM","","119.85","62.79"
,"Cubics","CUB","4ff Fashion B.V.","4FF","JAV15034","astridpc","650902",,"Physical",,,"1",,,,"InProduction","7/2/2018 12:00:00 AM","11/6/2016 12:00:00 AM","","31.6","30.99"
,"Cubics","CUB","4ff Fashion B.V.","4FF","4FF-HKA-HYP002","4ff-hka-hyp002","3515235",,"Physical","1",,,,,,"InProduction","3/25/2021 12:00:00 AM","11/6/2016 12:00:00 AM","","4336.71","7561.87"
,"Cubics","CUB","4ff Fashion B.V.","4FF","Rolfs-MacBook-Pro-4ff-4.local","rolfpc","807909",,"Physical",,,"1",,,,"InProduction","4/29/2019 12:00:00 AM","11/6/2016 12:00:00 AM","","39.44","39.48"
,"Cubics","CUB","4ff Fashion B.V.","4FF","HANNEKE-PC","hannekepc","422470",,"Physical",,,"1",,,,"InProduction","11/9/2016 12:00:00 AM","11/6/2016 12:00:00 AM","","38.89","46.05"
,"Cubics","CUB","DeltaPatents","DEL","DEL-HKA-HYP02","del-hka-hyp02","824091",,"Physical","1",,,,,,"InProduction","5/7/2019 12:00:00 AM","11/7/2016 12:00:00 AM","","3711.94","5090.09"
,"Cubics","CUB","Het Ketelhuis","KET","JAV15855","ket-diskstation","413181",,"Physical",,,"1",,,,"InProduction","10/11/2016 12:00:00 AM","11/11/2016 12:00:00 AM","","13.14","74.1"
,"Cubics","CUB","TD Medical","TDM","TDM-HKA-HYP001","tdm-hka-hyp001","2668579",,"Physical","1",,,,,,"InProduction","11/26/2019 12:00:00 AM","11/11/2016 12:00:00 AM","","1193.43","2379.14"
,"Cubics","CUB","Da Vinci Kliniek BV","DAV","DAV-HKA-ST002","dav-hka-st002","415194",,"Physical","1",,,,,,"InProduction","10/18/2016 12:00:00 AM","11/18/2016 12:00:00 AM","","335.98","280.59"
,"Cubics","CUB","Eindhoven Museum","EIM","EIM-HKA-HYP002","eim-hka-hyp002","980398",,"Physical","1",,,,,,"InProduction","8/20/2019 12:00:00 AM","12/9/2016 12:00:00 AM","","5033.45","4140.7"
,"Cubics","CUB","Eindhoven Museum","EIM","* M365 - stichtingeindhovenmuseum.onmicrosoft.com","stichtingeindhovenmuseum.onmicrosoft.com","3879867",,"Cloud",,,,,,"40","InProduction","4/11/2022 12:00:00 AM","12/9/2016 12:00:00 AM","","1819.29","993.27"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-RDS","tqs-hka-rds_jymgu","4054393",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","95.12","226.6"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-DEV","tqs-hka-dev_3ifys","4124851",,"Virtual",,"1",,,,,"InProduction","12/6/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","166.11","34.98"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-APP01","tqs-hka-app01_6yen7","4054287",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","97.39","101.77"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-DC","tqs-hka-dc_mhipd","4054310",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","72.23","81.27"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-RDGW","tqs-hka-rdgw_quuxa","4054278",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","53.35","22.09"
,"Cubics","CUB","iEAR","TQS","TQS-IIS","tqs-iis_jleap","4054459",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","96.79","36.02"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-HYP001","tqs-hka-hyp001","3832106",,"Physical","1",,,,,,"InProduction","3/1/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","1340.11","5288.08"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-APP02","tqs-hka-app02_8a3vm","4054297",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","453.73","441.16"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-EAC","tqs-hka-eac_ysojr","4054366",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","116.99","78.99"
,"Cubics","CUB","iEAR","TQS","TQS-HKA-DEV","tqs-hka-dev_bdeq3","4054341",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","12/25/2016 12:00:00 AM","","71.65","28.25"
,"Cubics","CUB","Kopak B.V.","KOP","KOP-HKA-HYP002","kop-hka-hyp002","1029163",,"Physical","1",,,,,,"InProduction","9/16/2019 12:00:00 AM","12/5/2016 12:00:00 AM","","5745.21","9568.22"
,"Cubics","CUB","JW Investeringen B.V. (van Hoesel)","HOE","HOE-RDS-001","hoe-rds-001_hbwuf","4054265",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","1/7/2017 12:00:00 AM","","132","71.86"
,"Cubics","CUB","JW Investeringen B.V. (van Hoesel)","HOE","HOE-EXCH-001","hoe-exch-001_hyo8a","4054262",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","1/7/2017 12:00:00 AM","","475.07","312.38"
,"Cubics","CUB","JW Investeringen B.V. (van Hoesel)","HOE","HOE-DC-001","hoe-dc-001_i3s3m","4054258",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","1/7/2017 12:00:00 AM","","766.03","683.51"
,"Cubics","CUB","JW Investeringen B.V. (van Hoesel)","HOE","HOE-APP-002","hoe-app-002_4vuy2","4054257",,"Virtual",,"1",,,,,"InProduction","9/30/2022 12:00:00 AM","1/7/2017 12:00:00 AM","","746.91","387.44"
,"Cubics","CUB","JW Investeringen B.V. (van Hoesel)","HOE","HOE-HYP-002","hoe-hyp-002","908404",,"Physical","1",,,,,,"InProduction","7/2/2019 12:00:00 AM","1/7/2017 12:00:00 AM","","2281.52","4878.4"
,"Cubics","CUB","IAI Industrial Systems B.V.",,"IAI-HKA-HYP003","iai-hka-hyp003","3466002",,"Physical","1",,,,,,"InProduction","1/29/2021 12:00:00 AM","1/19/2017 12:00:00 AM","1/2/2023 12:00:00 AM","1232.3","6404.55"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-SFTP01","iai-hka-sftp01_agjuc","4018310",,"Virtual",,"1",,,,,"InProduction","8/25/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","111.42","105.95"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-PBX","iai-hka-pbx","3740682",,"Virtual",,"1",,,,,"InProduction","12/1/2021 12:00:00 AM","1/19/2017 12:00:00 AM","","70.64","34.35"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","APP04-PROF2016","iai-app04-profile2016","3274519",,"Virtual",,"1",,,,,"InProduction","6/26/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","785.31","594.51"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-BI01","iai-hka-bi01_1y3sd","4036507",,"Virtual",,"1",,,,,"InProduction","9/13/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","88.52","75.71"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-CONF","iai-hka-conf","3266167",,"Virtual",,"1",,,,,"InProduction","6/23/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","85","225.01"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","APP06-PROF2016","iai-app06-profile2016","3271852",,"Virtual",,"1",,,,,"InProduction","6/25/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","86.04","168.07"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","A4","a4.feha.local","3923887",,"Virtual",,"1",,,,,"InProduction","5/19/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","216.18","111.93"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-BAM","iai-hka-bam","3347397",,"Virtual",,"1",,,,,"InProduction","9/14/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","216.76","422.92"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-BIT","iai-hka-bit","3281872",,"Virtual",,"1",,,,,"InProduction","6/30/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","111.72","205.47"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-FS1","iai-hka-fs1_xptd0","4059241",,"Virtual",,"1",,,,,"InProduction","10/5/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","9604.36","6744.52"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-RDS02","iai-hka-rds02_y5sdo","4046619",,"Virtual",,"1",,,,,"InProduction","9/22/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","47.68","40.23"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-DC01","iai-hka-dc01_mtiaq","4028899",,"Virtual",,"1",,,,,"InProduction","9/5/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","73.91","47.94"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-FS1","iai-hka-fs1","627386",,"Virtual",,"1",,,,,"InProduction","5/4/2018 12:00:00 AM","1/19/2017 12:00:00 AM","","6656.11","4981.39"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-ADPR","iai-hka-adpr","3281671",,"Virtual",,"1",,,,,"InProduction","6/30/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","61.74","266.37"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","NLDER1199-6191-","iai-hka-mgt01_xz3sm","4016032",,"Virtual",,"1",,,,,"InProduction","8/23/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","49.84","46.24"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-PROFTST","iai-hka-proftst","3274498",,"Virtual",,"1",,,,,"InProduction","6/26/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","465.18","271.36"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-RDS01","iai-hka-rds01","3271219",,"Virtual",,"1",,,,,"InProduction","6/25/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","126.15","213.61"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-JIRA","iai-hka-jira","3272110",,"Virtual",,"1",,,,,"InProduction","6/25/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","109.31","232.98"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","A1","a1.feha.local","3923918",,"Virtual",,"1",,,,,"InProduction","5/19/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","847.57","387.51"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-ISAH45","iai-hka-isah45","3281530",,"Virtual",,"1",,,,,"InProduction","6/30/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","152.08","585.04"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-NEXUS","iai-hka-nexus","3787461",,"Virtual",,"1",,,,,"InProduction","1/19/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","254.32","404.91"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-UNIT4","iai-hka-unit4","3906696",,"Virtual",,"1",,,,,"InProduction","5/5/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","118.92","73.18"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-TWINCAT","iai-hka-twincat","3419486",,"Physical",,,"1",,,,"InProduction","12/3/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","156.23","167.18"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-CLA-DC01","iai-cla-dc01_61rvk","4015918",,"Virtual",,"1",,,,,"InProduction","8/23/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","68.1","54.16"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-WDS","iai-hka-wds","3327851",,"Virtual",,"1",,,,,"InProduction","8/18/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","232.37","346.25"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-BCL","iai-hka-bcl","3380615",,"Virtual",,"1",,,,,"InProduction","10/21/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","268.66","722.08"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-EXCH02","iai-hka-exch02","3519757",,"Virtual",,"1",,,,,"InProduction","3/30/2021 12:00:00 AM","1/19/2017 12:00:00 AM","","2171.88","2393.42"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-APP08-ISAHLINUX64","iai-app08-isahlinux64","3296078",,"Virtual",,"1",,,,,"InProduction","7/7/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","76.23","68.17"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-DC02","iai-hka-dc02","3274444",,"Virtual",,"1",,,,,"InProduction","6/26/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","62.26","131.37"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-TOEG1","iai-hka-toeg1","3659856",,"Virtual",,"1",,,,,"InProduction","9/7/2021 12:00:00 AM","1/19/2017 12:00:00 AM","","82.74","75.63"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","A5","a5.feha.local","3923922",,"Virtual",,"1",,,,,"InProduction","5/19/2022 12:00:00 AM","1/19/2017 12:00:00 AM","","55.9","48.85"
,"Cubics","CUB","IAI Industrial Systems B.V.","IAI","IAI-HKA-SNX2016","iai-hka-snx2016","3274711",,"Virtual",,"1",,,,,"InProduction","6/26/2020 12:00:00 AM","1/19/2017 12:00:00 AM","","78.37","120.75"
,"Cubics","CUB","IAI Industrial Systems B.V.",,"IAI-HKA-HYP004","iai-hka-hyp004","3466019",,"Physical","1",,,,,,"InProduction","1/29/2021 12:00:00 AM","1/19/2017 12:00:00 AM","12/30/2022 12:00:00 AM","149.85","1877.19"
,"Cubics","CUB","IAI Industrial Systems B.V.",,"IAI-HKA-JIRA_ON","iai-hka-jira-test","3837596",,"Virtual",,"1",,,,,"InProduction","3/7/2022 12:00:00 AM","1/19/2017 12:00:00 AM","12/22/2022 12:00:00 AM","96.75","91.84"
,"Cubics","CUB","Eyesupply","EYE","EYE-HKA-NUC","eye-hka-nuc","576680",,"Physical",,,"1",,,,"InProduction","1/18/2018 12:00:00 AM","2/4/2017 12:00:00 AM","","17725.47","56885.26"
,"Cubics","CUB","Archimedes Bouwadvies","ARC","CUB50021","arc-hka-nuc","442378",,"Physical",,,"1",,,,"InProduction","1/10/2017 12:00:00 AM","1/6/2017 12:00:00 AM","","310.44","642.67"
,"Cubics","CUB","Totaalmarkt","TOT","ELI-APP-TOT3","eli-app-tot3","3305880",,"Virtual",,"1",,,,,"InProduction","7/20/2020 12:00:00 AM","2/26/2017 12:00:00 AM","","522.78","3752.53"
,"Cubics","CUB","Totaalmarkt","TOT","TOT-HKA-ST001","tot-hka-st01","756639",,"Physical","1",,,,,,"InProduction","2/14/2019 12:00:00 AM","2/26/2017 12:00:00 AM","","3103.15","2228.07"
,"Cubics","CUB","Dariuz","DAR","DAR-HKA-HYP002","dar-hka-hyp002","532415",,"Physical","1",,,,,,"InProduction","9/18/2017 12:00:00 AM","3/1/2017 12:00:00 AM","","2963.77","7717.45"
,"Cubics","CUB","Direct People","DPE","ELI-APP-DPE","eli-app-dpe","451389",,"Virtual",,"1",,,,,"InProduction","2/2/2017 12:00:00 AM","2/2/2017 12:00:00 AM","","366.32","196.12"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-DC01","san-hka-dc01_46aos","4001358",,"Virtual",,"1",,,,,"InProduction","8/8/2022 12:00:00 AM","3/19/2017 12:00:00 AM","","180.2","134.88"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-TS01","san-hka-ts01_mputc","4001435",,"Virtual",,"1",,,,,"InProduction","8/8/2022 12:00:00 AM","3/19/2017 12:00:00 AM","","228.73","226.92"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-HYP02","san-hka-hyp02","2979775",,"Physical","1",,,,,,"InProduction","3/10/2020 12:00:00 AM","3/19/2017 12:00:00 AM","","1461.26","3882.19"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-ERP02","san-hka-erp02_uoev0","4001338",,"Virtual",,"1",,,,,"InProduction","8/8/2022 12:00:00 AM","3/19/2017 12:00:00 AM","","580.14","511.31"
,"Cubics","CUB","Sanders Group","SAN","SAN-HKA-ERP01","san-hka-erp01_st2uf","4001371",,"Virtual",,"1",,,,,"InProduction","8/8/2022 12:00:00 AM","3/19/2017 12:00:00 AM","","184.9","758.44"
,"Cubics","CUB","Van Hout","GVH","GVH-HKA-HYP002","gvh-hka-hyp002","3748377",,"Physical","1",,,,,,"InProduction","12/9/2021 12:00:00 AM","4/6/2017 12:00:00 AM","","5122.81","6802.73"
,"Cubics","CUB","Van Hout","GVH","JAV17452","jav17452","898945",,"Physical",,,"1",,,,"InProduction","6/26/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","146.69","214.43"
,"Cubics","CUB","Van Hout","GVH","JAV16482","jav16482","898912",,"Physical",,,"1",,,,"InProduction","6/26/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","219.27","246.24"
,"Cubics","CUB","Van Hout","GVH","JAV17475","jav17475","899101",,"Physical",,,"1",,,,"InProduction","6/26/2019 12:00:00 AM","4/6/2017 12:00:00 AM","","5.8","5.05"
